@relation InstanceResultListener

@attribute Key_Dataset {nursery}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.meta.RandomCommittee}
@attribute Key_Scheme_options {'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2','-S 1 -num-slots 1 -I 50 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2','-S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2','-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 3','-S 1 -num-slots 1 -I 50 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 3','-S 1 -num-slots 1 -I 100 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 3'}
@attribute Key_Scheme_version_ID {-9204394360557300093}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

nursery,1,1,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220615.0425,11664,1296,1190,106,0,91.820988,8.179012,0,0.87894,0.073009,0.168124,26.740066,45.504112,2223.34536,455.526114,1767.819246,1.715544,0.351486,1.364058,1773.379073,1.368348,79.761746,1,432,0,0,1,864,0,0,1,1,1,1,1,1,0.91821,0.038911,0.961089,0.08179,0.921263,0.91821,0.909881,0.879799,0.986106,0.969228,0.738119,0.91821,0.451,0.06,0.4375,0.0625,437.5,62.5,57439,1180678,133510,100,33.37963,?
nursery,1,2,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220615.0425,11664,1296,1181,115,0,91.126543,8.873457,0,0.868496,0.069112,0.164768,25.312575,44.595795,2223.34536,435.024427,1788.320933,1.715544,0.335667,1.379877,1793.97913,1.384243,80.68828,1,432,0,0,1,864,0,0,1,1,1,1,1,1,0.911265,0.042393,0.957607,0.088735,?,0.911265,?,?,0.986824,0.970643,?,0.911265,0.449,0.05,0.453125,0.046875,453.125,46.875,56496,1180678,133510,100,33.117284,?
nursery,1,3,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220615.0425,11664,1296,1201,95,0,92.669753,7.330247,0,0.891414,0.071109,0.16294,26.0518,44.116136,2219.652247,436.406156,1783.246091,1.712695,0.336733,1.375961,1786.70422,1.37863,80.494781,1,432,0,0,1,864,0,0,1,1,1,1,1,1,0.926698,0.03528,0.96472,0.073302,0.93085,0.926698,0.918736,0.89293,0.989889,0.977037,0.745651,0.926698,0.44,0.06,0.4375,0.0625,437.5,62.5,57420,1180678,133510,100,33.364198,?
nursery,1,4,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220615.0425,11664,1296,1179,117,0,90.972222,9.027778,0,0.866185,0.071428,0.167414,26.168918,45.327633,2219.652247,447.773611,1771.878636,1.712695,0.345504,1.36719,1776.179312,1.370509,80.020612,1,432,0,0,1,864,0,0,1,1,1,1,1,1,0.909722,0.04328,0.95672,0.090278,0.91432,0.909722,0.90014,0.866009,0.986338,0.971745,0.705595,0.909722,0.43,0.055,0.40625,0.0625,406.25,62.5,56028,1180678,133510,100,33.209877,?
nursery,1,5,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220615.0425,11664,1296,1189,107,0,91.743827,8.256173,0,0.87773,0.071322,0.165472,26.122438,44.787249,2223.268119,442.518785,1780.749334,1.715485,0.34145,1.374035,1783.705282,1.376316,80.228978,1,432,0,0,1,864,0,0,1,1,1,1,1,1,0.917438,0.039678,0.960322,0.082562,0.922313,0.917438,0.909308,0.879564,0.988564,0.973734,0.737641,0.917438,0.41,0.06,0.40625,0.0625,406.25,62.5,57854,1180678,133510,100,33.287037,?
nursery,1,6,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220615.0425,11664,1296,1197,99,0,92.361111,7.638889,0,0.886876,0.07017,0.162431,25.700631,43.964253,2223.268119,431.57073,1791.69739,1.715485,0.333002,1.382483,1795.004148,1.385034,80.737187,1,432,0,0,1,864,0,0,1,1,1,1,1,1,0.923611,0.036497,0.963503,0.076389,0.926885,0.923611,0.914337,0.887011,0.989051,0.974909,0.729554,0.923611,0.42,0.06,0.421875,0.0625,421.875,62.5,56623,1180678,133510,100,33.441358,?
nursery,1,7,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220615.0425,11664,1296,1184,112,0,91.358025,8.641975,0,0.871998,0.073497,0.169375,26.919207,45.843523,2223.268119,458.181382,1765.086737,1.715485,0.353535,1.36195,1770.667574,1.366256,79.642557,1,432,0,0,1,864,0,0,1,1,1,1,1,1,0.91358,0.041366,0.958634,0.08642,0.917806,0.91358,0.904555,0.872679,0.986306,0.971042,0.7219,0.91358,0.409,0.05,0.421875,0.046875,421.875,46.875,58030,1180678,133510,100,33.348765,?
nursery,1,8,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220615.0425,11664,1296,1190,106,0,91.820988,8.179012,0,0.878939,0.072143,0.166749,26.423164,45.132936,2223.268119,449.822534,1773.445585,1.715485,0.347085,1.368399,1779.813751,1.373313,80.053941,1,432,0,0,1,864,0,0,1,1,1,1,1,1,0.91821,0.039151,0.960849,0.08179,0.921993,0.91821,0.910835,0.88076,0.986906,0.970052,0.750246,0.91821,0.398,0.05,0.390625,0.046875,390.625,46.875,56795,1180678,133510,100,33.256173,?
nursery,1,9,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220615.0425,11664,1296,1166,130,0,89.969136,10.030864,0,0.851499,0.074005,0.173256,27.096285,46.876549,2234.014981,477.658557,1756.356425,1.723777,0.368564,1.355213,1761.70266,1.359338,78.85814,1,432,0,0,1,864,0,0,1,1,1,1,1,1,0.899691,0.047427,0.952573,0.100309,?,0.899691,?,?,0.98277,0.961045,?,0.899691,0.41,0.05,0.40625,0.046875,406.25,46.875,55624,1180678,133510,99.92284,32.993827,?
